id	kind	count	budget	chars	jp	ko
6777	movie	1	29	14	隊長やみんなの仇を討ちたい…	대장님과 모두의 원수를 갚고 싶어…
6778	movie	1	23	11	隊長達を殺したんだ！！	대장님들을 죽였다고！！
6779	movie	1	9	4	隊長！！	대장님！！
6780	movie	1	7	3	隊長？	대장님？
6781	dialog	1	29	14	階段をふさいじまってるんでね	계단이 막혀 버려서 말이지
6782	dialog	1	21	10	隠れている弱点を探す	숨어 있는 약점을 찾는다
6783	dialog	1	5	2	離脱	이탈
6784	dialog	1	9	4	雨降らし	비 내리기
6785	ui	1	5	2	雷撃	뇌격
6786	ui	1	9	4	雷雲招集	뇌운 소환
6787	dialog	1	31	15	電磁発振砲、充電局面に入ります	전자발진포, 충전 단계에 들어갑니다
6788	dialog	1	31	15	電磁発振砲の射角にとらえました	전자발진포 사정권에 포착했습니다
6789	dialog	1	9	4	震動探知	진동 탐지
6790	dialog	1	21	10	震動探知システム作動	진동 탐지 시스템 작동
6791	dialog	1	25	12	青い二本柱が目印だとか…	파란 기둥 두 개가 표식이라던데…
6792	dialog	1	21	10	青い扉が目印だからね	파란 문이 표식이니까
6793	dialog	1	17	8	青い扉が目印だぜ	파란 문이 표식이라고
6794	dialog	1	23	11	青い扉が見えるはずです	파란 문이 보일 겁니다
6795	dialog	1	39	19	青い柱が、入□の両脇に立ってるそうだぜ	파란 기둥이 입구 양옆에 서 있다더라
6796	dialog	1	7	3	面白い	재밌군
6797	dialog	1	21	10	預った物も渡してきた	맡아둔 물건도 건네줬어
6798	dialog	1	35	17	頭だ！ 頭を狙って、動きを止めろ！	머리다！ 머리를 노려서 움직임을 멈춰라！
6799	dialog	1	33	16	頭への攻撃が一番効果ありそうだな	머리 공격이 제일 효과적일 것 같군
6800	dialog	1	27	13	頼まれてた物、持ってきたよ	부탁받은 물건, 가져왔어
6801	dialog	1	37	18	頼まれてた部品、取ってこれなかった！	부탁받은 부품, 못 구해왔어！
6802	movie	1	5	2	頼む	부탁해
6803	dialog	1	23	11	頼む、一度でいいんだ！	부탁이야, 한 번이면 돼！
6804	dialog	1	21	10	頼んだぞ、エッジ！！	부탁한다, 에지！！
6805	dialog	1	27	13	頼んだぞ、礼ははずむからな	부탁한다, 사례는 두둑이 할 테니
6806	dialog	1	39	19	頼んだ物はまだか？ 早く持って来てくれ	부탁한 물건은 아직이야？ 빨리 가져와
6807	dialog	1	11	5	風網制御板	풍망 제어판
6808	ui	1	207	100	飛ぶ練習をするために、村の外に\n出ていた儀らだけが助かった。\n不思議と涙は出なかった。目の前で\n村が燃えているのに、なにか悪い夢の\nように思えて仕方なかった。\nむしろ、その後に起きたラギの異変が\n儀を恐れさせた。	날아오르는 연습을 하려고 마을\n밖에 나가 있던 나만 살아남았다.\n이상하게 눈물은 나오지 않았다.\n눈앞에서 마을이 불타고 있는데도,\n그저 나쁜 꿈처럼 느껴질 뿐이었다.\n오히려 그 뒤에 일어난 라기의\n이변이 나를 두렵게 만들었다.
6809	dialog	1	19	9	飛行甲板、換装完了	비행 갑판, 교체 완료
6810	dialog	1	17	8	飛行甲板異常なし	비행 갑판 이상 없음
6811	movie	1	9	4	食うか？	먹을래？
6812	dialog	1	31	15	食料の買いつけじゃなさそうだが	식량을 사러 온 건 아닌 것 같은데
6813	dialog	1	39	19	首尾はどうだった？ 塔には行けたのか？	결과는 어땠어？ 탑에는 갈 수 있었나？
6814	dialog	1	21	10	馬鹿な！？私の船が…	말도 안 돼！？ 내 배가…
