name	offset	len	text
E006.EPK	0029E8	13	まへふひは3
E011.EPK	04288B	34	ふう、どこまで続いてるんだろう…
E011.EPK	09D4DF	10	うわっ！
E011.EPK	0B3547	8	何だ？
E011.EPK	0D38AF	14	…どうした？
E011.EPK	0F8EA7	22	何が起こってるんだ…
E011.EPK	11ED67	20	よし、行ってみよう
E011.EPK	1AB77B	14	ちくしょう！
E011.EPK	2553AF	28	へへっ！ ざまあみやがれ！
E011.EPK	3BC127	8	早く！
E011.EPK	3CE603	20	穴の中に隠れて！！
E011.EPK	3F00C7	22	あ…ああ、すまない！
E014.EPK	0B2523	16	こりゃあ一体…
E014.EPK	0D633B	28	あんたの…ドラゴンなのか？
E014.EPK	0FF463	22	儀のってわけじゃない
E014.EPK	1148CF	40	なぜか、言うことは聞いてくれるんだけど
E014.EPK	1230EB	7	事※※
E014.EPK	1C03E7	24	ドラゴンねえ…そうか…
E014.EPK	1F503B	40	確かに、こいつがあれば帝国とも戦える…
E014.EPK	2573A7	22	帝国と戦うだって！？
E014.EPK	299F1F	34	まさか、おまえもクレイメンの！？
E014.EPK	2B39A7	36	ちょ、ちょっと待てよ、人違いだって
E014.EPK	2E6B23	30	クレイメンのなんかじゃない、
E014.EPK	2FA52F	16	俺はシーカーだ
E014.EPK	2FA53F	14	んかじゃない、
E014.EPK	326B9F	26	シーカー？ 盗掘集団の？
E014.EPK	357BF7	26	おいおい、人聞きが悪いな
E014.EPK	3874CB	36	俺達が盗掘者なら、帝国だってそうさ
E014.EPK	3CD8EF	32	あの宝の山が奴らのものだって、
E014.EPK	3FA33B	14	誰が決めた？
E014.EPK	418A77	40	そのシーカーのあんたがなぜこんな所に？
E014.EPK	4634AF	38	仲間との合流地点に向かってたんだが…
E014.EPK	48BFA7	36	近道をしてたら、あいつに襲われてな
E014.EPK	4D7097	18	いや、助かったよ
E014.EPK	52616B	32	で、ついでといっちゃなんだが、
E014.EPK	5592E3	30	俺をそこまで運んでくれないか
E014.EPK	5A189B	22	なに、そう遠くはない
E014.EPK	5BFFDF	40	カイナスの村っていって、ここのすぐ南さ
E014.EPK	626603	22	そんなに警戒するなよ
E014.EPK	66EBB3	28	一人旅には慣れてないんだろ
E014.EPK	6A2A97	14	力になるぜ！
E014.EPK	6DB347	36	わかった、だけどその村に行くだけだ
E014.EPK	710D1B	12	十分、十分
E014.EPK	743B23	24	自【52】紹介がまだだったな
E014.EPK	78CAE7	18	俺の名はガッシュ
E014.EPK	7AC92F	40	本名は、スキアド=オプス=ガッシュって
E014.EPK	7E65B3	34	言うんだが…まあ、ガッシュでいい
E014.EPK	8262AB	26	こう見えても、この辺りの
E014.EPK	84CBFF	20	情報には詳しいんだ
E014.EPK	882BFF	30	遣跡のこと、攻性生物のこと、
E014.EPK	8C725F	22	何だって教えてやるぜ
E014.EPK	8C7275	8	のこと、
E021.EPK	02CAF3	20	何だ！！ 一体！？
E021.EPK	065D4F	24	…ガッシュ！ あれ！！
E021.EPK	13C853	28	くそっ、不死身か、奴は！？
E021.EPK	21C30B	8	何！？
E021.EPK	25CB27	14	変形した！！
E021.EPK	2B1019	5	う何
E021.EPK	431D83	12	…すごい…
E021.EPK	45ECEB	26	状況に応じた変形能力…か
E021.EPK	4A70AF	22	やっぱり、こいつは…
E021.EPK	4E191B	18	いや、何でもない
E021.EPK	504F87	34	それより、早いとこ地上に戻ろうぜ
E021.EPK	5311B3	22	遣跡の出□は目の前だ
E021.EPK	5311C9	12	に戻ろうぜ
E022.EPK	03C4F3	30	じゃあ、ここからは一人で行く
E022.EPK	06E027	38	おかげで、なんとか生きのびられそうだ
E022.EPK	0A7D87	38	シーカーってのは、冷たい奴が多くてな
E022.EPK	0D738F	34	約束の時間までに着かなかった奴は
E022.EPK	0FFB17	28	死んだことにされちまうのさ
E022.EPK	1319C7	14	ああ、そうだ
E022.EPK	1319D5	14	れちまうのさ
E022.EPK	189DD7	26	そいつを持って東に飛びな
E022.EPK	1C5CEF	30	そこにキャラバンがいるはずだ
E022.EPK	1F7B07	32	それを見せれば力になってくれる
E022.EPK	233CEF	38	まあ、ドラゴンを隠して行ったらの話…
E022.EPK	27CC03	12	…だけどな
E022.EPK	29D85F	30	短い間だったが、面白かったぜ
E022.EPK	29D87D	8	らの話…
E022.EPK	2E2B27	38	また、お互い生きてたらどこかで会おう
E024.EPK	01F2F7	32	あんたもさっきの奴らの仲間か！
E024.EPK	065F73	26	ん？ そのペンダントは…
E024.EPK	0E1C7F	26	なんだ、ガッシュの仲間か
E024.EPK	0FEB5B	30	ワシはまたさっきの奴らかと…
E024.EPK	13C31F	14	なら話は別だ
E024.EPK	13C32E	15	きの奴らかと…
E024.EPK	16BF1F	24	とりあえず、座ってくれ
E024.EPK	2096FF	16	クレイメンか…
E024.EPK	22D8D3	16	ガッシュの奴、
E024.EPK	248BE7	30	たまに誰かよこしたと思えば、
E024.EPK	260AC3	40	いつもめんどうを持ち込みおる…まったく
E024.EPK	2A2527	34	クレイメン…かどうかは知らんが、
E024.EPK	2CB593	36	それらしいのなら、3日ほど前に来た
E024.EPK	2F25DF	12	本当に！？
E024.EPK	306BD3	30	薬や武器を強尋していきおった
E024.EPK	349983	36	皆が殺気立っておるのは、そのせいだ
E024.EPK	3B32C3	18	奴らなら、北へ…
E024.EPK	3C28E3	28	禁止区域へ向かっていったよ
E024.EPK	3F235B	12	禁止区域？
E024.EPK	4221C5	5	う奴
E024.EPK	42A97F	10	この北に
E024.EPK	434E0B	34	重力の嵐が吹き荒れてる地域がある
E024.EPK	46B8B3	32	旧世紀の遣跡があるらしいんだが
E024.EPK	4A1ECF	30	自由に飛行することが難しくて
E024.EPK	4C4217	20	帝国軍も近づけない
E024.EPK	4F3C8B	10	噂じゃ、
E024.EPK	4FAB47	40	見たことのない攻性生物も出るらしいんで
E024.EPK	52F5D3	24	禁止区域と呼ばれておる
E024.EPK	5A5213	28	…まあ、放っておいたって、
E024.EPK	5CC3DB	40	奴らも攻性生物どもにやられるってことだ
E024.EPK	613D0B	24	それでも、儀は行きます
E024.EPK	61E01F	40	クレイメンに、せめて一撃でも加えたい…
E024.EPK	6AF0E3	22	ワシらにも事情がある
E024.EPK	6C3CF3	42	あんたをそこへ連れて行くことはできんが、
E024.EPK	6FF197	32	まあ、できる限りのことはしよう
E024.EPK	75639B	28	バイカにとっておきの武器を
E024.EPK	7716BB	22	売るように言っておく
E024.EPK	791FEB	38	奴なら、旧世紀のことも多少は知ってる
E024.EPK	7D7EE3	20	見た目はともかく、
E024.EPK	7EA7C7	28	中身は頼りになる奴だからな
E024.EPK	83ACA3	12	ありがとう
E024.EPK	8689F7	10	礼はいい
E024.EPK	880BC7	36	ただ、もし生きて帰ってこられたら、
E024.EPK	8D0F27	22	禁止区域で拾った物を
E024.EPK	8F30E7	24	ワシらに売ってくれんか
E024.EPK	90AB2F	22	武器や薬が足りんのだ
E024.EPK	93CA79	5	え奴
