180	마을을 나감
181	통로 유적 입구
182	마을 밖에 나감
183	                  <03><01>기<03>
184	(소박한 토기 항아리가 놓였다)
185	=
186	=
187	그 맛을 알면 한 사람 몫은 하는 거야
188	=
189	내 이름은 라드감이다
190	실은,당분간 못 갚을 것 같아
191	조금… 무서워
192	작열의 숨
193	열의 숨결
194	유도폭뢰함 카라＆호위기
195	(적 3체를 동시에 공격하는 녀석이다)
196	(…여기와 절벽을 이어 지날 수 있다면,)
197	(저 자루도 작물이 든 듯하다)
198	(이 녀석을 능숙히 다루긴 힘들 듯하다)
199	(이걸로 탑에 간다…)
200	(공성생물 껍질에 무늬를 넣은 장식이다)
201	(선반에 팔 물건이 놓여 있다…)
202	(연료는 아직 쓸 수 있으려나)
203	(창문 불빛이 꺼져 있다…)
204	(가까이 가지 않으면 못 움직인다)
205	(식기가 든 선반이다…)
206	(향목이 세워져 있다… 오래된 게 많군)
207	071 재회의 예감
208	1000Dn에 삼
209	128공성생물 대 제국군
210	150탑 재잠입
211	3) 중간층에서 외주부 8층으로→\n  8층에서 승강기로 6층으로→\n  6층에서 하부 격납층으로\n\n4) 하부 격납층에서 외주부 5층으로→\n  5층에서 승강기로 4층으로→\n  4층에서 최하층으로
212	<!A9> 손에 넣었어？
213	<!BD>했다
214	=
215	<03>\n전송장치<03>
216	=
217	=
218	=
219	=
220	=
221	=
222	=
223	=
224	=
225	=
226	=
227	=
228	=
229	=
230	=
231	<0C>거나 말이야
232	=
233	<1B>니까 말이야
234	<1B> 듯하다
235	<1E> 원하는 듯하다
236	<1E>하지 마
237	HP와 BP 최대
238	=
239	=
240	…말도 안 돼！
241	그 녀석 대신 고맙다고 할게
242	손님만 돌아오면 더 바랄 게 없네
243	그 발굴소에서!
244	저놈은 이 마을을 망칠 수도 있는 자야
245	당신이 깨운 공성생물한테 말이야
246	언제까지 슬퍼할 수만은 없어
247	이제 와서 뭘 놀라나
248	이 녀석은 늘 보던 잡종이 아니다
249	이 근처를 여행하는 거지?
250	앞으로 어쩔 거야?
251	이걸로 아래로 나갈 수 있어
252	이런 거리의 우두머리가 되어선…
253	그 뒤로도 몇 번이나 죽을 뻔했다
254	그걸 방해하는 자는 아무도 못 오게 한다
255	그런 걸 알 수 있어?
256	안 돼… 직접 접속해야 해
257	회오리
258	어느 쪽이냐!
259	어째서 정체를 숨겨?
260	뭔 볼일이야?
261	그치?
262	누
263	=
264	정말…뭐라도 되는 줄 아나
265	어쩔 수 없다,각 함 제1종 전투배치
266	드디어 이 힘을 내 것으로 만든다…
267	고 싶다
268	린 가루
269	알 수 있어
270	를 지킨다…
271	거처를 빼앗긴 사람들이야
272	음
273	겠다고
274	울 연속전투1
275	울 연속전투2
276	울 연속전투3
277	카이나스 마을 진입
278	시커와 친하게 지내지 않는 게 좋아
279	시커 소문은 전부터 듣고 있었지만…
280	저장할 수 있습니다
281	-지 군
282	드래곤과 제국을 구실 삼아서
283	드래곤이 변해 버린 꼴
284	와 성당에 있다
285	나도 이제 늙었어
286	세계를 파멸에서 지키기 위한 거지
287	사람이다
288	인간 이동시 조작
289	인류가 계속 살아갈 환경을 만드는 것…
290	지금이라면 아직
291	지금은 너한테 기댈 수밖에…
292	지금까지 놈과는 분위기가 다르다…
293	임무 완수를 위해 몸을 던진다
294	뭔가를 남기고 싶어질 때가 오는 법이다
295	나 말이야?
296	난 이 근처를 살펴보고 올게
297	저는 몇 년째 문지기를 합니다만
298	광입자로 융합20％
299	광입자로 융합50％
300	광입자로 융합90％
301	모든 탑을 다스리는 혼의 그릇
302	모든 것을 손에 넣으려 한다
303	동족포식
304	재생은 꿈의 연속
305	출력 저하,고도를 못 지킵니다！
306	처음 만났을 때 일은 사과할게
307	딱히 아무것도
308	전・후・좌
309	동력장치 정지 방법
310	주회탐지
311	목숨을 버리러 가는 거나 같다
312	회전포대 준비
313	회전속도 최대
314	바깥 아이와 같이 취급하면 곤란
315	그놈들에겐 눈도 귀도 없다
316	완전히 마을을 손에 넣은 기분이겠지
317	좌현 동력 정지
318	제국 그림자가 있는 땅엔 못 머물러
319	제국군 함대 진군 상황
320	제도 작전도 순조롭게 진행 중입니다…하지만
321	유체방출
322	약점에 맞으면 위력 증대
323	탄이 가까운 적 3체로 분산
324	정체를 알 수 없다
325	나쁜 얘기는 아닐 것이다
326	어리석은 짓이다
327	방열모드 종료
328	문명의 힘이란 걸 말이지
329	내일 한 번 더 오라던데
330	최대 출력으로 가속!
331	구조체의 생명 형태,판별 불능
332	욕망은 전란을 낳는다
333	오래 걸렸다…
334	열량과다
335	생체병기 실험동 게이트
336	발굴소를 나감
337	황제포 발사 준비 아직인가
338	목표 파괴가능 라인까지 5분입니다
339	목표 파괴가능 라인까지 7분입니다
340	사막<05>빠질 굴
341	신의 영역을 어지럽히는 천벌 받을 짓
342	순혈종일수록 명령에 충실히 움직여
343	결정석폭발
344	내성변화
345	젊을 땐 혼자 여행도 좋겠지
346	장갑이 벗겨졌다… 조금만 더!
347	발판을 노려라!
348	윤형진에 구멍이 뚫렸다
349	변경의 여행은…
350	양산형드래곤
351	총의 위력이 배가 된다
352	대장과 모두의 원수를 갚고 싶어
353	음성출력 설정
354	머리다！ 머리를 노려 움직임을 멈춰라！
355	비행갑판 교체완료
356	식량을 사러 온 건 아닌 듯한데
357	주둔지,책 읽은 뒤 대사 변화
