id	kind	count	budget	chars	jp	ko
5169	dialog	1	39	19	俺の名はベゼル…ゾアの司祭ダモンの孫さ	내 이름은 베젤… 조아의 사제 다몬의 손자야
5170	dialog	1	25	12	俺の村のある所だったんだ	내 마을이 있던 곳이었어
5171	dialog	1	31	15	俺の研究がシーカーの間に残れば	내 연구가 시커들 사이에 남는다면
5172	dialog	1	35	17	俺の研究って、一体何だったんだよ…	내 연구가 대체 뭐였던 거지…
5173	dialog	1	35	17	俺の計算じゃ、帝国にだって行けるぜ	내 계산으로는 제국까지도 갈 수 있어
5174	dialog	1	27	13	俺は、あそこの出身だからよ	난 저기 출신이거든
5175	dialog	1	31	15	俺は、この街を捨てる気はねえよ	난 이 도시를 버릴 생각은 없어
5176	dialog	1	25	12	俺は、アルドーってもんだ	난 알도라는 사람이야
5177	dialog	1	21	10	俺は、ヤレドってんだ	난 야레드라고 해
5178	dialog	1	27	13	俺は、当分ここから出ねえよ	난 당분간 여기서 안 나가
5179	dialog	1	31	15	俺は、昼間はたいていここにいる	난 낮에는 대개 여기 있어
5180	dialog	1	37	18	俺は、神聖区門番のアブネルってもんだ	난 신성구 문지기 아브네르라는 사람이야
5181	dialog	1	35	17	俺は「探索兵」ペレツだ、よろしくな	난 '탐색병' 페레츠야,잘 부탁해
5182	movie	1	25	12	俺はこの辺りを調べてくる	이 근처를 살펴보고 오겠어
5183	movie	1	37	18	俺はこの里の人間を守らなきゃならない	난 이 마을 사람들을 지켜야만 해
5184	dialog	1	39	19	俺はただ、頼まれて銃を修理しただけだぜ	난 그냥 부탁받아서 총을 수리했을 뿐이야
5185	dialog	1	31	15	俺はエフタってんだ、よろしくな	난 에프타라고 해,잘 부탁해
5186	dialog	1	35	17	俺はシフレっていうんだ、よろしくな	난 시프레라고 해,잘 부탁해
5187	movie	1	21	10	俺は他にやる事がある	난 다른 할 일이 있어
5188	dialog	1	31	15	俺は何年も門番をやっていますが	저는 몇 년째 문지기를 합니다만
5189	dialog	1	33	16	俺は村を出て、帝国の傭兵になった	난 마을을 떠나 제국의 용병이 됐어
