id	kind	count	budget	chars	jp	ko
3094	dialog	1	31	15	こいつも受け取ってくれないか？	이것도 받아주지 않겠어?
3095	movie	1	27	13	こいつらに管理されていれば	이 녀석들에게 관리되고 있다면
3096	dialog	1	11	5	こいつらは	이 녀석들은
3097	dialog	1	39	19	こいつを売ってくれるのか、ありがたい！	이걸 팔아주는 거야? 고맙군!
3098	movie	1	35	17	こういう時はそう言って謝るんだって	이럴 때는 그렇게 사과하는 거래
3099	dialog	1	33	16	こうすれば速度を変えてくれるのか	이렇게 하면 속도를 바꿔주는 건가
3100	dialog	1	39	19	こうでもしないと親父を閉め出せないんだ	이렇게라도 하지 않으면 아버지를 몰아낼 수 없어
3101	dialog	1	35	17	ここ…最初来た時には通らなかった…	여기… 처음 왔을 때는 지나갈 수 없었는데…
3102	dialog	1	31	15	ここ、ウルって遣跡なんだけど…	여기, 우르라는 유적인데…
3103	slot	1	33	13	ここ、俺だけの隠れ家なんだ	여기는 나만의 은신처야
3104	dialog	1	33	16	ここから、塔を止められないのか？	여기서, 탑을 멈출 수는 없는 건가?
3105	dialog	1	29	14	ここからさらに下のドームに、	여기서 더 아래에 있는 돔으로,
3106	dialog	1	29	14	ここからは下り坂になっている	여기서부터는 내리막길이다
3107	dialog	1	33	16	ここから下に抜けるのが一番近道よ	여기서 아래로 빠져나가는 게 가장 가까운 길이야
3108	dialog	1	27	13	ここから先は、一人でいくよ	여기서부터는, 혼자서 갈게
3109	dialog	1	29	14	ここから先は道の分岐も激しい	여기서부터는 갈림길도 심해진다
3110	dialog	1	37	18	ここがちょうど真ん中の層に当たるわ…	여기가 딱 한가운데 층에 해당하는 거야…
3111	dialog	1	17	8	ここが塔の最上階	여기가 탑의 최상층
3112	dialog	1	29	14	ここじゃねえよ、隣の神聖区さ	여기가 아니라 옆에 있는 신성구야
3113	movie	1	7	3	ここだ	여기야
3114	dialog	1	125	60	ここでは\nタイプセレクト画面で、実際に\n形態変化を試すことができる。\nそののち、その形態が属する\nタイプについての解説を行なう。	여기서는\n타입 셀렉트 화면에서, 실제로\n형태 변화를 시험해 볼 수 있다.\n그 후, 그 형태가 속한\n타입에 대한 해설을 진행한다.
3115	dialog	1	39	19	ここでは、認められた子供しか育てられん	여기서는, 인정받은 아이만 키울 수 있어
3116	dialog	1	27	13	ここでは手に入らないんだよ	여기서는 손에 넣을 수 없어
3117	dialog	1	39	19	ここにいる限り、住民は安全というわけだ	여기 있는 한, 주민은 안전하다는 뜻이지
3118	dialog	1	31	15	ここには、気軽に立ち寄ってくれ	여기에는, 편하게 들러줘
3119	dialog	1	37	18	ここには、食料の買いつけに来てるんだ	여기에는, 식량을 사러 온 거야
3120	dialog	1	19	9	ここにはそれっきり	여기까지 오고는 그걸로 끝
3121	ui	1	23	11	ここにはもう用はない…	여기서는 더 이상 볼일이 없다…
3122	dialog	1	21	10	ここに住んでる人か？	여기 사는 사람이야?
3123	movie	1	21	10	ここに攻め込んだのさ	여기로 쳐들어온 거야
3124	ui	1	135	65	ここに書き記すのは、私に託された\n秘密の、ごく一部でしかない。\nわずかな知識ではあるが、私と同じ\n境遇に立つ君の助けとなれば幸いで\nある。	여기에 적어두는 것은, 나에게 맡겨진\n비밀의, 극히 일부에 지나지 않는다.\n하찮은 지식이지만, 나와 같은\n처지에 선 그대에게 도움이 된다면\n다행이다.
3125	dialog	1	33	16	ここに来るまで、大変だったんだろ	여기까지 오느라, 힘들었지
3126	movie	1	27	13	ここに来るまでに見ただろう	여기까지 오면서 봤을 텐데
3127	dialog	1	27	13	ここに残るように言われたの	여기 남으라는 말을 들었어
3128	dialog	1	35	17	ここに流れてきた連中の吹きだまりよ	여기로 흘러든 놈들의 소굴이야
3129	dialog	1	39	19	ここに流れ着いた旅人達と争いが起きてね	여기로 흘러든 여행자들과 싸움이 일어나서 말이야
3130	dialog	1	39	19	ここの人達だって、きっと認めてくれるさ	여기 사람들도, 분명 인정해줄 거야
3131	dialog	1	27	13	ここの外周部へ出るゲートよ	여기 외곽으로 나가는 게이트야
3132	movie	1	27	13	ここの攻性生物の戦闘能力は	여기 공격성 생물의 전투 능력은
3133	dialog	1	25	12	ここの連中、払いが悪いぜ	여기 놈들, 지불이 나빠
3134	dialog	1	39	19	ここの連中は、みんな帝国をなめてるんだ	여기 놈들은, 다들 제국을 얕보고 있어
3135	dialog	1	31	15	ここの遣跡で何か作動するものが	여기 유적에서 뭔가 작동하는 것이
3136	dialog	1	35	17	ここの遣跡を越えれば砂漠も終わり…	여기 유적을 넘으면 사막도 끝이야…
3137	dialog	1	31	15	ここの食いもの、うまいんだぜ！	여기 먹거리, 맛있다고
3138	dialog	1	37	18	ここは、あまり長居する場所ではないぞ	여기는, 그다지 오래 머물 곳이 아니야
3139	dialog	1	27	13	ここは、まだ森に近すぎる…	여기는, 아직 숲에 너무 가까워…
3140	dialog	1	39	19	ここは、ハンターなどの来る所ではないぞ	여기는, 헌터 같은 자들이 올 곳이 아니야
3141	dialog	1	25	12	ここは、戦いのない街だ…	여기는, 싸움이 없는 거리다…
3142	dialog	1	27	13	ここは、私でもダメみたい…	여기는, 나로서도 안 될 것 같아…
