id	kind	count	budget	chars	jp	ko
5124	dialog	1	39	19	俺の名はベゼル…ゾアの司祭ダモンの孫さ	내 이름은 베젤… 조아의 사제 다몬의 손자야
5125	dialog	1	25	12	俺の村のある所だったんだ	내 마을이 있던 곳이었어
5126	dialog	1	31	15	俺の研究がシーカーの間に残れば	내 연구가 시커들 사이에 남는다면
5127	dialog	1	35	17	俺の研究って、一体何だったんだよ…	내 연구가 대체 뭐였던 거지…
5128	dialog	1	35	17	俺の計算じゃ、帝国にだって行けるぜ	내 계산으로는 제국까지도 갈 수 있어
5129	dialog	1	27	13	俺は、あそこの出身だからよ	난 저기 출신이거든
5130	dialog	1	31	15	俺は、この街を捨てる気はねえよ	난 이 도시를 버릴 생각은 없어
5131	dialog	1	25	12	俺は、アルドーってもんだ	난 알도라는 사람이야
5132	dialog	1	21	10	俺は、ヤレドってんだ	난 야레드라고 해
5133	dialog	1	27	13	俺は、当分ここから出ねえよ	난 당분간 여기서 안 나가
5134	dialog	1	31	15	俺は、昼間はたいていここにいる	난 낮에는 대개 여기 있어
5135	dialog	1	37	18	俺は、神聖区門番のアブネルってもんだ	난 신성구 문지기 아브네르라는 사람이야
5136	dialog	1	35	17	俺は「探索兵」ペレツだ、よろしくな	난 '탐색병' 페레츠야, 잘 부탁해
5137	movie	1	25	12	俺はこの辺りを調べてくる	난 이 근처를 살펴보고 올게
5138	movie	1	37	18	俺はこの里の人間を守らなきゃならない	난 이 마을 사람들을 지켜야만 해
5139	dialog	1	39	19	俺はただ、頼まれて銃を修理しただけだぜ	난 그냥 부탁받아서 총을 수리했을 뿐이야
5140	dialog	1	31	15	俺はエフタってんだ、よろしくな	난 에프타라고 해, 잘 부탁해
5141	dialog	1	35	17	俺はシフレっていうんだ、よろしくな	난 시프레라고 해, 잘 부탁해
5142	movie	1	21	10	俺は他にやる事がある	난 다른 할 일이 있어
5143	dialog	1	31	15	俺は何年も門番をやっていますが	저는 몇 년째 문지기를 하고 있습니다만
5144	dialog	1	33	16	俺は村を出て、帝国の傭兵になった	난 마을을 떠나 제국의 용병이 됐어
5145	dialog	1	37	18	俺は脱走して、村に知らせに行ったが…	난 탈영해서 마을에 알리러 갔지만…
5146	dialog	1	31	15	俺みたいになりたくなけりゃあな	나처럼 되고 싶지 않다면 말이야
5147	dialog	1	35	17	俺も、いろんな場所を旅してきたが…	나도 여러 곳을 여행해봤지만…
5148	dialog	1	31	15	俺も、おまえと同業だったんだぜ	나도 너랑 같은 업이었어
5149	dialog	1	31	15	俺も、何か残してみたくなってさ	나도 뭔가 남기고 싶어져서 말이야
5150	dialog	1	35	17	俺も、神聖区のお役に立ちたいです…	저도 신성구에 도움이 되고 싶습니다…
5151	dialog	1	23	11	俺もよく知らねえけど…	나도 잘 모르지만…
5152	dialog	1	35	17	俺をごまかせるとでも思ってんのか！	날 속일 수 있다고 생각하는 거냐！
5153	dialog	1	17	8	俺を説得しろって	날 설득하라니
5154	dialog	1	35	17	俺達が、ろくな物拾ってこねえからさ	우리가 변변한 걸 못 주워 오니까
5155	movie	1	15	7	俺達がもう一度	우리가 다시 한번
5156	movie	1	37	18	俺達が最初に会った渓谷があっただろう	우리가 처음 만났던 계곡이 있었잖아
5157	dialog	1	39	19	俺達だけが、この街に逃げ込んだんだが…	우리만 이 도시로 도망쳐 왔는데…
5158	dialog	1	37	18	俺達にとっちゃ、宝物庫みたいなもんさ	우리한테는 보물창고 같은 거야
5159	dialog	1	21	10	俺達にゃ縁のねえ所よ	우리랑은 인연 없는 곳이야
5160	dialog	1	19	9	俺達にゃ関係ねえよ	우리랑은 상관없어
5161	dialog	1	39	19	俺達の一族じゃ、男は必ずハンターになる	우리 일족에서는 남자는 반드시 헌터가 돼
5162	movie	1	21	10	俺達の手には負えん！	우리 손으로는 감당이 안 돼！
5163	dialog	1	39	19	俺達は、わざわざ金で買わなきゃならねえ	우리는 굳이 돈 주고 사야만 해
5164	dialog	1	21	10	俺達はそろそろ出るよ	우리는 슬슬 나갈게
5165	movie	1	23	11	俺達は帝国軍に雇われて	우리는 제국군에 고용되어
5166	dialog	1	39	19	俺達みたいなのを受け入れてくれるのかね	우리 같은 놈들을 받아줄까
