id	kind	count	budget	chars	jp	ko
2639	dialog	1	4	2	」さ	」야
2640	dialog	1	26	12	」という概念が\n存在する。	」라는 개념이\n존재한다.
2641	dialog	1	16	7	」に\n対応する。	」에\n대응한다.
2642	dialog	1	39	19	『…1枚のメモリープレートに封印し…』	『…한 장의 메모리 플레이트에 봉인하고…』
2643	dialog	1	18	7	『…<03><05>Dユニット<03>	『…<03><05>D유닛<03>
2644	dialog	1	24	10	『…<03>\nライト・ウィング<03>	『…<03>\n라이트 윙<03>
2645	dialog	1	24	10	『…<03>\nライト・ウイング<03>	『…<03>\n라이트 윙<03>
2646	dialog	1	31	15	『……願わくば後世の人間が…』	『……바라건대 후세의 인간이…』
2647	dialog	1	27	13	『…あるいは我々よりも…』	『…혹은 우리보다도…』
2648	dialog	1	29	14	『…しかし、それはもはや…』	『…하지만, 그것은 이제…』
2649	dialog	1	21	10	『…しかし我々は…』	『…하지만 우리는…』
2650	dialog	1	26	11	『…それぞれを…<03>\n12個<03>	『…각각을…<03>\n12개<03>
2651	dialog	1	39	19	『…と言えるものだったかもしれない…』	『…라고 할 수 있는 것이었을지도 모른다…』
2652	dialog	1	19	9	『…もっと別の…』	『…좀 더 다른…』
2653	dialog	1	31	15	『…わずかな望みを託して……』	『…한 가닥 희망을 걸고……』
2654	dialog	1	29	14	『…ドラゴンというよりも…』	『…드래곤이라기보다는…』
2655	dialog	1	35	17	『…ドラゴンの究極ともいうべき…』	『…드래곤의 궁극이라고도 할 수 있는…』
2656	dialog	1	33	16	『…ライト・ウィングに関する…』	『…라이트 윙에 관한…』
2657	dialog	1	33	16	『…ライト・ウイングに関する…』	『…라이트 윙에 관한…』
2658	dialog	1	21	10	『…個体データを…』	『…개체 데이터를…』
2659	dialog	1	29	14	『…地表各地にばらまいた…』	『…지표 각지에 뿌렸다…』
2660	dialog	1	29	14	『…形態の開発に成功した…』	『…형태의 개발에 성공했다…』
2661	dialog	1	35	17	『…我々の意志を引き維ぐことに…』	『…우리의 의지를 이어받게 하는 것에…』
2662	dialog	1	35	17	『…我々の暴走と判断した当局は…』	『…우리의 폭주라고 판단한 당국은…』
2663	dialog	1	21	10	『…我々はついに…』	『…우리는 마침내…』
2664	dialog	1	39	19	『…消去するようにとの決断を下した…』	『…소거하라는 결단을 내렸다…』
2665	dialog	1	21	10	『…記録の一切を…』	『…기록의 일체를…』
